8,28,k
47,16,k
42,26,k
46,30,k
38,29,k
5,15,k
45,8,k
28,0,k
26,47,k
2,3,k
44,45,k
18,20,k
41,44,k
40,31,k
35,32,k
19,2,k
29,10,k
3,19,k
13,13,k
49,29,k
8,1,k
3,41,k
30,17,k
25,24,k
18,27,k
20,47,k
22,28,k
32,45,k
32,14,k
19,19,k
34,7,k
11,32,k
41,18,k
24,24,k
10,4,k
37,27,k
45,27,k
19,49,k
16,30,k
39,38,k
22,7,k
12,31,k
31,10,k
27,28,k
18,41,k
9,36,k
17,10,k
0,9,k
49,39,k
21,18,k
14,5,k
10,11,k
19,45,k
35,2,k
25,26,k
3,43,k
26,29,k
26,3,k
23,42,k
7,27,k
12,21,k
47,28,k
6,24,k
32,37,k
19,20,k
24,42,k
39,23,k
31,23,k
20,48,k
9,49,k
6,0,k
19,33,k
34,16,k
32,13,k
33,29,k
19,48,k
19,17,k
35,42,k
14,48,k
48,49,k
12,7,k
39,0,k
12,40,k
23,7,k
5,6,k
18,2,k
14,36,k
7,37,k
4,37,k
40,42,k
1,42,k
20,26,k
36,36,k
46,47,k
8,48,k
27,13,k
8,25,k
12,35,k
1,21,k
24,27,k
2,24,k
42,44,k
15,24,k
19,36,k
5,8,k
35,22,k
21,32,k
4,17,k
45,20,k
36,4,k
32,21,k
33,21,k
22,38,k
48,20,k
42,5,k
6,49,k
2,46,k
3,46,k
1,45,k
35,44,k
45,28,k
8,45,k
49,14,k
44,33,k
20,5,k
28,7,k
48,26,k
27,21,k
10,42,k
0,45,k
14,29,k
3,26,k
2,13,k
13,21,k
16,2,k
1,49,k
24,30,k
25,38,k
36,47,k
2,48,k
13,8,k
47,23,k
44,23,k
32,28,k
41,31,k
49,32,k
7,36,k
37,15,k
23,21,k
43,4,k
48,27,k
19,44,k
32,10,k
32,22,k
39,42,k
39,49,k
24,46,k
10,7,k
33,6,k
47,3,k
27,4,k
6,14,k
30,37,k
22,49,k
14,43,k
47,0,k
6,40,k
11,48,k
39,29,k
6,30,k
15,8,k
22,41,k
36,49,k
27,5,k
18,19,k
15,45,k
18,18,k
7,39,k
4,31,k
3,37,k
36,48,k
34,33,k
0,8,k
23,2,k
8,4,k
19,34,k
13,26,k
25,29,k
10,24,k
42,38,k
29,44,k
44,42,k
26,11,k
38,48,k
20,23,k
18,7,k
14,45,k
37,34,k
33,32,k
11,34,k
27,16,k
